Number of Terminals	1

Terminal	Home Warehouse
Term-01	1

Transaction	Weight
% New-Order	45
% Payment	43
% Order-Status	4
% Delivery	4
% Stock-Level	4


Transaction Number	Terminal	Type	Execution Time (ms)		Comment
1	Term-01	New-Order	766		None
2	Term-01	New-Order	187		None
3	Term-01	Payment	16		None
4	Term-01	New-Order	109		None
5	Term-01	Payment	16		None
6	Term-01	Delivery	953		None
7	Term-01	Payment	78		None
8	Term-01	New-Order	141		None
9	Term-01	New-Order	218		None
10	Term-01	New-Order	125		None
11	Term-01	Payment	32		None
12	Term-01	New-Order	500		None
13	Term-01	Payment	47		None
14	Term-01	Order-Status	78		None
15	Term-01	New-Order	172		None
16	Term-01	New-Order	140		None
17	Term-01	Order-Status	78		None
18	Term-01	Payment	47		None
19	Term-01	New-Order	172		None
20	Term-01	Payment	31		None
21	Term-01	Payment	16		None
22	Term-01	Order-Status	46		None
23	Term-01	New-Order	141		None
24	Term-01	Delivery	469		None
25	Term-01	New-Order	250		None
26	Term-01	Delivery	312		None
27	Term-01	Payment	16		None
28	Term-01	Payment	31		None
29	Term-01	New-Order	219		None
30	Term-01	Payment	31		None
31	Term-01	New-Order	297		None
32	Term-01	Payment	16		None
33	Term-01	Payment	15		None
34	Term-01	Payment	16		None
35	Term-01	New-Order	78		None
36	Term-01	Payment	16		None
37	Term-01	New-Order	187		None
38	Term-01	Payment	31		None
39	Term-01	Payment	47		None
40	Term-01	Payment	32		None
41	Term-01	New-Order	203		None
42	Term-01	Payment	15		None
43	Term-01	Order-Status	63		None
44	Term-01	Payment	15		None
45	Term-01	New-Order	204		None
46	Term-01	New-Order	93		None
47	Term-01	New-Order	188		None
48	Term-01	Stock-Level	359		None
49	Term-01	Payment	31		None
50	Term-01	Payment	32		None
51	Term-01	Payment	62		None
52	Term-01	Payment	94		None
53	Term-01	Order-Status	78		None
54	Term-01	New-Order	109		None
55	Term-01	New-Order	63		None
56	Term-01	New-Order	94		None
57	Term-01	New-Order	172		None
58	Term-01	Payment	78		None
59	Term-01	New-Order	125		None
60	Term-01	Order-Status	78		None
61	Term-01	New-Order	62		None
62	Term-01	New-Order	219		None
63	Term-01	Payment	31		None
64	Term-01	New-Order	141		None
65	Term-01	Payment	47		None
66	Term-01	New-Order	734		None
67	Term-01	Payment	375		None
68	Term-01	New-Order	250		None
69	Term-01	Stock-Level	0		None
70	Term-01	New-Order	297		None
71	Term-01	New-Order	141		None
72	Term-01	Payment	47		None
73	Term-01	Payment	31		None
74	Term-01	New-Order	484		None
75	Term-01	New-Order	141		None
76	Term-01	New-Order	156		None
77	Term-01	New-Order	297		None
78	Term-01	Payment	16		None
79	Term-01	Payment	15		None
80	Term-01	New-Order	516		None
81	Term-01	New-Order	94		None
82	Term-01	New-Order	140		None
83	Term-01	New-Order	594		None
84	Term-01	Payment	31		None
85	Term-01	New-Order	203		None
86	Term-01	New-Order	297		None
87	Term-01	Delivery	531		None
88	Term-01	Payment	47		None
89	Term-01	Payment	63		None
90	Term-01	New-Order	78		None
91	Term-01	Payment	16		None
92	Term-01	Payment	46		None
93	Term-01	Payment	16		None
94	Term-01	New-Order	250		None
95	Term-01	New-Order	266		None
96	Term-01	New-Order	172		None
97	Term-01	Payment	46		None
98	Term-01	Payment	110		None
99	Term-01	Payment	15		None
100	Term-01	New-Order	172		None
101	Term-01	New-Order	157		None
102	Term-01	New-Order	546		None
103	Term-01	Payment	47		None
104	Term-01	Payment	63		None
105	Term-01	Payment	94		None
106	Term-01	New-Order	156		None
107	Term-01	Payment	62		None
108	Term-01	New-Order	422		None
109	Term-01	New-Order	422		None
110	Term-01	New-Order	609		None
111	Term-01	New-Order	141		None
112	Term-01	Stock-Level	16		None
113	Term-01	Order-Status	62		None
114	Term-01	New-Order	344		None
115	Term-01	Payment	16		None
116	Term-01	Payment	15		None
117	Term-01	Order-Status	297		None
118	Term-01	New-Order	469		None
119	Term-01	Payment	31		None
120	Term-01	Payment	31		None
121	Term-01	New-Order	110		None
122	Term-01	Payment	31		None
123	Term-01	New-Order	328		None
124	Term-01	Payment	31		None
125	Term-01	Payment	16		None
126	Term-01	New-Order	344		None
127	Term-01	New-Order	265		None
128	Term-01	New-Order	203		None
129	Term-01	Payment	32		None
130	Term-01	Payment	78		None
131	Term-01	Payment	62		None
132	Term-01	New-Order	266		None
133	Term-01	Payment	16		None
134	Term-01	New-Order	421		None
135	Term-01	Payment	16		None
136	Term-01	Payment	16		None
137	Term-01	Payment	31		None
138	Term-01	New-Order	219		None
139	Term-01	Delivery	328		None
140	Term-01	Payment	0		None
141	Term-01	Payment	78		None


Measured tpmC	=60000*64/22438

Session Start	2005-12-04 01:44:03
Session End	2005-12-04 01:44:25
Transaction Count	141
