Number of Terminals	1

Terminal	Home Warehouse
Term-01	1

Transaction	Weight
% New-Order	45
% Payment	43
% Order-Status	4
% Delivery	4
% Stock-Level	4


Transaction Number	Terminal	Type	Execution Time (ms)		Comment
194	Term-01	New-Order	219		None
195	Term-01	New-Order	110		None
196	Term-01	New-Order	390		None
197	Term-01	New-Order	375		None
198	Term-01	Payment	16		None
199	Term-01	New-Order	94		None
200	Term-01	Delivery	265		None
201	Term-01	Order-Status	156		None
202	Term-01	New-Order	344		None
203	Term-01	Payment	16		None
204	Term-01	New-Order	219		None
205	Term-01	Payment	62		None
206	Term-01	Stock-Level	0		None
207	Term-01	New-Order	297		None
208	Term-01	New-Order	562		None
209	Term-01	New-Order	250		None
210	Term-01	New-Order	188		None
211	Term-01	Payment	16		None
212	Term-01	Delivery	296		None
213	Term-01	New-Order	266		None
214	Term-01	Payment	109		None
215	Term-01	Payment	47		None
216	Term-01	Payment	16		None
217	Term-01	Payment	16		None
218	Term-01	Payment	31		None
219	Term-01	Payment	47		None
220	Term-01	Stock-Level	15		None
221	Term-01	New-Order	125		None
222	Term-01	Payment	32		None
223	Term-01	New-Order	140		None
224	Term-01	New-Order	250		None
225	Term-01	New-Order	94		None
226	Term-01	Payment	16		None
227	Term-01	New-Order	78		None
228	Term-01	Delivery	360		None
229	Term-01	Delivery	265		None
230	Term-01	Order-Status	32		None
231	Term-01	New-Order	140		None
232	Term-01	New-Order	125		None
233	Term-01	New-Order	78		None
234	Term-01	New-Order	141		None
235	Term-01	Payment	16		None
236	Term-01	Payment	0		None
237	Term-01	New-Order	63		None
238	Term-01	New-Order	187		None
239	Term-01	Stock-Level	16		None
240	Term-01	New-Order	234		None
241	Term-01	New-Order	563		None
242	Term-01	New-Order	62		None
243	Term-01	Payment	31		None
244	Term-01	Delivery	1360		None
245	Term-01	New-Order	500		None
246	Term-01	New-Order	219		None
247	Term-01	Payment	62		None
248	Term-01	New-Order	172		None
249	Term-01	Payment	47		None
250	Term-01	New-Order	172		None
251	Term-01	Stock-Level	0		None
252	Term-01	New-Order	375		None
253	Term-01	New-Order	93		None
254	Term-01	New-Order	204		None
255	Term-01	Payment	15		None
256	Term-01	New-Order	188		None
257	Term-01	New-Order	78		None
258	Term-01	Payment	0		None
259	Term-01	Payment	31		None
260	Term-01	New-Order	156		None
261	Term-01	Payment	32		None
262	Term-01	Payment	15		None
263	Term-01	New-Order	328		None
264	Term-01	New-Order	110		None
265	Term-01	Payment	31		None
266	Term-01	Payment	31		None
267	Term-01	Payment	31		None
268	Term-01	Payment	32		None
269	Term-01	New-Order	156		None
270	Term-01	Stock-Level	16		None
271	Term-01	New-Order	421		None
272	Term-01	Payment	32		None
273	Term-01	Payment	31		None
274	Term-01	Payment	47		None
275	Term-01	Order-Status	62		None
276	Term-01	New-Order	266		None
277	Term-01	New-Order	234		None
278	Term-01	Payment	32		None
279	Term-01	New-Order	546		None
280	Term-01	Payment	47		None
281	Term-01	New-Order	657		None
282	Term-01	New-Order	421		None
283	Term-01	New-Order	79		None
284	Term-01	New-Order	312		None
285	Term-01	Payment	63		None
286	Term-01	New-Order	515		None
287	Term-01	New-Order	203		None
288	Term-01	Payment	32		None
289	Term-01	New-Order	187		None
290	Term-01	Payment	78		None
291	Term-01	Payment	63		None
292	Term-01	Payment	62		None
293	Term-01	New-Order	391		None
294	Term-01	New-Order	406		None
295	Term-01	Payment	78		None
296	Term-01	New-Order	391		None
297	Term-01	Payment	15		None
298	Term-01	New-Order	407		None
299	Term-01	Payment	156		None
300	Term-01	Payment	78		None
301	Term-01	Delivery	797		None
302	Term-01	New-Order	687		None
303	Term-01	Order-Status	204		None
304	Term-01	New-Order	703		None
305	Term-01	Payment	93		None
306	Term-01	Payment	32		None
307	Term-01	New-Order	297		None
308	Term-01	New-Order	578		None
309	Term-01	New-Order	234		None
310	Term-01	Payment	47		None
311	Term-01	Payment	16		None
312	Term-01	New-Order	265		None
313	Term-01	New-Order	203		None
314	Term-01	New-Order	172		None
315	Term-01	Payment	31		None
316	Term-01	New-Order	204		None
317	Term-01	New-Order	187		None
318	Term-01	Payment	63		None
319	Term-01	New-Order	359		None
320	Term-01	New-Order	234		None
321	Term-01	New-Order	94		None
322	Term-01	Payment	31		None
323	Term-01	Payment	16		None
324	Term-01	Payment	46		None
325	Term-01	Payment	0		None
326	Term-01	Payment	47		None
327	Term-01	Payment	16		None
328	Term-01	New-Order	281		None
329	Term-01	Payment	47		None
330	Term-01	Payment	31		None
331	Term-01	Payment	16		None
332	Term-01	New-Order	172		None
333	Term-01	Payment	31		None
334	Term-01	New-Order	188		None
335	Term-01	Payment	31		None
336	Term-01	New-Order	187		None
337	Term-01	Payment	32		None
338	Term-01	Payment	0		None
339	Term-01	Payment	15		None
340	Term-01	Payment	31		None
341	Term-01	Payment	0		None
342	Term-01	Delivery	422		None
343	Term-01	New-Order	282		None
344	Term-01	Payment	15		None
345	Term-01	Payment	16		None
346	Term-01	New-Order	140		None
347	Term-01	Payment	0		None
348	Term-01	New-Order	329		None
349	Term-01	Payment	15		None
350	Term-01	Payment	31		None
351	Term-01	Payment	32		None
352	Term-01	Payment	15		None
353	Term-01	Stock-Level	16		None
354	Term-01	Order-Status	78		None
355	Term-01	New-Order	359		None
356	Term-01	New-Order	79		None
357	Term-01	Payment	15		None
358	Term-01	Payment	31		None
359	Term-01	New-Order	172		None
360	Term-01	New-Order	547		None
361	Term-01	New-Order	266		None
362	Term-01	Payment	31		None
363	Term-01	New-Order	250		None
364	Term-01	Payment	78		None
365	Term-01	Payment	31		None
366	Term-01	New-Order	172		None
367	Term-01	New-Order	453		None
368	Term-01	New-Order	531		None
369	Term-01	New-Order	282		None
370	Term-01	Stock-Level	0		None
371	Term-01	Payment	15		None
372	Term-01	Payment	31		None
373	Term-01	Payment	0		None
374	Term-01	New-Order	110		None
375	Term-01	New-Order	78		None
376	Term-01	New-Order	125		None
377	Term-01	Payment	16		None


Measured tpmC	=60000*177/60016

Session Start	2005-12-04 01:46:09
Session End	2005-12-04 01:47:09
Transaction Count	377
